Date,"Feb  1, 2026 to Mar  3, 2026"
Filters,"Sales Order Status: Pending, Processing, Ready to ship, Delivering, Delivered, Completed"

Name,SKU,Quantity Sold,Total Sales,Unit Type,Category,Subcategory,Group,Vendor,Product Owner,Unit Cost,Sale Price,Wholesale Price,Shipped From License,UPC
SRENE - 1/2 Ounce - O.B.X.,SRE-14.-MYL-OBX,1522,42594.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - Stripper Glitter,SRE-14.-MYL-STG,1080,31554.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - DayStripper,SRE-14.-MYL-DAY,823,24650.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - Royale Grape,SRE-14.-MYL-ROG,758,22715.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - BioFuel,SRE-14.-MYL-BIF,756,21930.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - Zero Gravity,SRE-14.-MYL-ZRG,710,21125.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - Sin City Funk,SRE-3.5-JAR-SCF,1250,18900.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),James Ferrari,,16.00,,17334914845519714402,
SRENE - 1/2 Ounce - Space Junky,SRE-14.-MYL-SPJ,634,18270.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - Strange Haze #8,SRE-3.5-JAR-STH,1188,17782.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),Brandon Green,,16.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - DayStripper,SRE-3.5-JAR-DAY,1105,17325.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),James Ferrari,,16.00,,17334914845519714402,
SRENE - 1/2 Ounce - Sin City Funk,SRE-14.-MYL-SCF,570,17060.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - Purple Slush,SRE-14.-MYL- PUS,543,15315.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - GovernMint Oasis,SRE-14.-MYL-GOO,543,15137.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),James Ferrari,,30.00,,17334914845519714402,
SRENE - 1/2 Ounce - Tropicana Acai,SRE-14.-MYL-TRA,487,13235.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - Space Junky,SRE-3.5-JAR-SPJ,825,12175.00,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),Brandon Green,,16.00,,17334914845519714402,
SRENE - 3.5 grams - Jar - Royale Grape,SRE-3.5-JAR-ROG,748,11137.50,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Wholesale,SSAC (C),James Ferrari,,16.00,,17334914845519714402,
SRENE - 1g Cart - Tropicana Acai Slush,SRE-1g-CRT-TAS,1060,10999.50,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,,08542800532746610043,
