ID,Package Label,Distru Product,Status,Metrc Status,Assembling Quantity,Available Quantity,Quantity,Unit Type,Unit Cost (Actual),Unit Cost (Default),Total Cost (Actual),Total Cost (Default),License Number,Location,Metrc Location,Lab Testing State,Lab Testing Updated Date,Is Test Sample,Is Trade Sample,THC %,THC mg/g,THC mg/mL,Total THC %,Total THC mg/g,Total THC mg/mL,CBD %,CBD mg/g,CBD mg/mL,Total CBD %,Total CBD mg/g,Total CBD mg/mL,Metrc Production Batch Number,Distru Batch Number,Description,Category,Subcategory,Created in Distru At (UTC),Packaged Date,Lot Number,Package Date,Production Strain,I/H/S/LO,Total THC mg - .5g Concentrate,Total THC mg - 1g Concentrate,Total THC mg/unit,Total THC mg/2 pack,Total THC mg/4 Pack,Total THC mg/10 Pack,Total THC mg/Package,Total THC mg/g,Protab/Hashtab,Production Flavor,Trim Strain,3rd Party Batch Number,Total THC mg/100 Pack,Total THC mg/50 Pack,STRAIN,Expiration Date,Harvest Batch,Bins,Metrc Item,Harvest Date
22712235,1A4040300002329000048048,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22691824,1A404030000232A000068283,SRENE - 1g Cart - DayStripper,active,active,0,50,50,ea,4.02,2.51,201.23,125.65,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2026-02-12,No,No,88.8149,888.149,,88.8149,888.149,,0,0,,0,0,,,P-7.257,,Non-Solvent Based Concentrate (Each),1g Cart,2026-02-18 17:06:57.550432Z,2026-02-18,,,DayStripper,,,,,,,,,,,,,,,,,,,,SRENE - 1g Cart - DayStripper,2024-05-23
16443988,1A404030000232A000047467,LEVEL Protab - Indica - 4pk - 25mg,active,active,0,6,6,ea,0.40,0.01,2.43,0.07,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-04-22,No,No,17.11,171.1,,17.11,171.1,,0,0,,0,0,,,NV25PT250416d9I,,Capsule/Tablet,LEVEL - 4pk,2025-05-23 14:21:41.799223Z,2025-05-23,,,,Indica,,,,,109.52,,,,Protab,,,,,,,,,INV-F.3,LEVEL Protab - Indica - 4pk - 25mg,
22384316,1A4040300002329000047486,SRENE - 3.5 grams - Jar - Rose Sorbet,active,active,0,87.5,87.5,g,0.14,0.12,12.36,10.21,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-01-30,No,No,0.444,4.44,,26.2146,262.146,,0,0,,0.0456,0.456,,,251229-H233.4_Rosé Sorbet Lot 2,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-06 00:18:53.858817Z,2026-02-05,,02/05/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Rose Sorbet,2025-12-29
22712228,1A4040300002329000048041,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712233,1A4040300002329000048046,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
22712231,1A4040300002329000048044,SRENE - 3.5 grams - Jar - Zero Gravity,active,active,0,87.5,87.5,g,0.09,0.11,8.01,9.81,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-02-16,No,No,0.093,0.93,,32.792,327.92,,0,0,,0.062,0.62,,,260120-H235.6_Zero Gravity Lot 1,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-18 22:57:31.274689Z,2026-02-18,,02/18/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Zero Gravity,2026-01-20
20801585,1A404030000232A000060030,SRENE - 1g AIO Cart - GovernMint Oasis,active,active,0,50,50,ea,2.57,0.20,128.50,10.03,08542800532746610043,Inventory - Production,Inventory - Production,TestPassed,2025-11-10,No,No,78.74,787.4,,79.13,791.3,,0.94,9.4,,0.94,9.4,,,P-7.221,,Non-Solvent Based Concentrate (Each),1g AIO Cart,2025-12-08 22:11:13.309812Z,2025-12-08,,,GovernMint Oasis,Hybrid,,791.3,,,,,,,,,,,,,,,,,SRENE - 1g AIO Cart - GovernMint Oasis,2025-07-29
22384296,1A4040300002329000047466,SRENE - 3.5 grams - Jar - Rose Sorbet,active,active,0,87.5,87.5,g,0.14,0.12,12.36,10.21,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-01-30,No,No,0.444,4.44,,26.2146,262.146,,0,0,,0.0456,0.456,,,251229-H233.4_Rosé Sorbet Lot 2,,Marijuana Flowers/Buds-Packaged,3.5g Jar,2026-02-06 00:18:53.858817Z,2026-02-05,,02/05/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 3.5 grams - Jar - Rose Sorbet,2025-12-29
23025180,1A4040300002329000046145,SRENE - 1g - Pre-roll - Rose Sorbet,active,active,0,1232,1232,ea,0.16,0.16,197.12,197.12,17334914845519714402,Inventory - Cultivation,Inventory - Cultivation,TestPassed,2026-01-30,No,No,0.542,5.42,,25.2418,252.418,,0,0,,0.0403,0.403,,,251229-H233.4_Rosé Sorbet Lot 4,,Pre-rolled cigs/joints,1g Pre-Roll,2026-03-02 22:06:48.082714Z,2026-03-02,,03/02/2026,,,,,,,,,,,,,,,,,,,,,SRENE - 1g - Pre-roll - Rose Sorbet,2025-12-29
