Priority Rank,Priority,SKU,Name,Need Type,Unit Type,Category,Subcategory,List Qty,Available Qty,Reserved Qty,Incoming Qty,Threshold Min,Sales Window Days,Units Sold,Avg Daily Sales,Days of Cover,Target Days of Cover,Recommended Reorder Qty,Urgency Score,Unavailable
1,Critical,Preroll Material - Stripper Glitter,Preroll Material - Stripper Glitter,Bulk,g,Shake/Trim,Preroll Material,5978.9,0.0,5978.9,0.0,0.0,30,0.0,0.0,,21.0,1,70.0,Yes
2,Critical,SRENE - 1g - Pre-roll - Strange Haze #8,SRENE - 1g - Pre-roll - Strange Haze #8,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,572.0,0.0,572.0,0.0,0.0,30,0.0,0.0,,21.0,1,70.0,Yes
3,Critical,SRENE - Strange Haze #8 - Pre Roll - .7g - 5 Pack,SRENE - Strange Haze #8 - Pre Roll - .7g - 5 Pack,Preroll,ea,Pre-rolled cigs/joints,5pk Pre-Roll,545.0,0.0,545.0,0.0,0.0,30,0.0,0.0,,21.0,1,70.0,Yes
4,Critical,Trim - Stripper Glitter,Trim - Stripper Glitter,Bulk,g,Shake/Trim,Bulk Shake/Trim,5078.67,0.0,5078.67,0.0,0.0,30,0.0,0.0,,21.0,1,70.0,Yes
5,High,RAW - Mixed Distillate,RAW - Mixed Distillate,Bulk,g,Non-Solvent Based Concentrate,Raw Distillate,12367.0,0.0,12367.0,1888.0,0.0,30,0.0,0.0,,21.0,1,65.0,Yes
6,Low,SRENE - 3.5 grams - Jar - Zero Gravity,SRENE - 3.5 grams - Jar - Zero Gravity,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,7171.5,7171.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
7,Low,SRENE - 1g Cart - DayStripper,SRENE - 1g Cart - DayStripper,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,327.0,327.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
8,Low,SRENE - 3.5 grams - Jar - Rose Sorbet,SRENE - 3.5 grams - Jar - Rose Sorbet,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,2394.0,2394.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
9,Low,SRENE - 1g AIO Cart - GovernMint Oasis,SRENE - 1g AIO Cart - GovernMint Oasis,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,254.0,254.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
10,Low,SRENE - 1g - Pre-roll - Rose Sorbet,SRENE - 1g - Pre-roll - Rose Sorbet,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,2719.0,2719.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
11,Low,SRENE - 1g Cart - Melonade,SRENE - 1g Cart - Melonade,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,511.0,511.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
12,Low,SRENE - 1g Cart - Tropical Breath,SRENE - 1g Cart - Tropical Breath,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,718.0,718.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
13,Low,SRENE - 1g AIO Cart - Guava Diesel,SRENE - 1g AIO Cart - Guava Diesel,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,975.0,975.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
14,Low,SRENE - 1g Cart - Guava Diesel,SRENE - 1g Cart - Guava Diesel,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,593.0,593.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
15,Low,SRENE - 1g AIO Cart - Melonade,SRENE - 1g AIO Cart - Melonade,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,500.0,500.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
16,Low,SRENE - 3.5 grams - Jar - Limesicle,SRENE - 3.5 grams - Jar - Limesicle,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,3251.5,3251.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
17,Low,SRENE - 1g Cart - Strange Haze #8,SRENE - 1g Cart - Strange Haze #8,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,570.0,570.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
18,Low,SRENE - 1g AIO Cart - Blueberry Moon,SRENE - 1g AIO Cart - Blueberry Moon,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,75.0,75.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
19,Low,SRENE - 1g AIO Cart - Tropicana Acai Slush,SRENE - 1g AIO Cart - Tropicana Acai Slush,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,675.0,675.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
20,Low,SRENE - 1g Cart - Hella Jelly,SRENE - 1g Cart - Hella Jelly,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,403.0,403.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
21,Low,Trim - Space Junky,Trim - Space Junky,Bulk,g,Shake/Trim,Bulk Shake/Trim,15114.96,10088.06,5026.9,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
22,Low,SRENE - 1g Cart - Chem NV,SRENE - 1g Cart - Chem NV,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,494.0,494.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
23,Low,SRENE - 1g AIO Cart - BubbleGum Gary,SRENE - 1g AIO Cart - BubbleGum Gary,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,150.0,150.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
24,Low,SRENE - 1g AIO Cart - DayStripper,SRENE - 1g AIO Cart - DayStripper,Cart,ea,Non-Solvent Based Concentrate (Each),1g AIO Cart,400.0,400.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
25,Low,VYBZ - 3.5 grams - Tropicana Acai,VYBZ - 3.5 grams - Tropicana Acai,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Mylar,5029.5,5029.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
26,Low,SRENE - 1/2 Ounce - Tropicana Acai,SRENE - 1/2 Ounce - Tropicana Acai,Unit,g,Marijuana Flowers/Buds-Packaged,14g Mylar,1708.0,1708.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
27,Low,Trim - Zero Gravity,Trim - Zero Gravity,Bulk,g,Shake/Trim,Bulk Shake/Trim,5637.56,5637.56,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
28,Low,SRENE - 1g - Pre-roll - DayStripper,SRENE - 1g - Pre-roll - DayStripper,Preroll,ea,Pre-rolled cigs/joints,1g Pre-Roll,1100.0,1100.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
29,Low,SRENE - 1g Cart - Limesicle,SRENE - 1g Cart - Limesicle,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,410.0,410.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
30,Low,Bud - Rose Sorbet,Bud - Rose Sorbet,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,4513.06,4513.06,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
31,Low,Bud - Space Junky,Bud - Space Junky,Bulk,g,Marijuana Flowers/Buds,Bulk Flower,9025.76,9025.76,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
32,Low,SRENE - 3.5 grams - Jar - Strange Haze #8,SRENE - 3.5 grams - Jar - Strange Haze #8,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,24.5,24.5,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
33,Low,SRENE - 1g Cart - Jet Fuel Acai,SRENE - 1g Cart - Jet Fuel Acai,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,503.0,503.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
34,Low,Distillate (Bulk),Distillate (Bulk),Bulk,g,Non-Solvent Based Concentrate,Formulated Distillate,1992.3,1992.3,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
35,Low,SRENE - 1g Cart - Strawberry Kush Cake,SRENE - 1g Cart - Strawberry Kush Cake,Cart,ea,Non-Solvent Based Concentrate (Each),1g Cart,224.0,224.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
36,Low,SRENE - 3.5 grams - Jar - Sin City Funk,SRENE - 3.5 grams - Jar - Sin City Funk,Unit,g,Marijuana Flowers/Buds-Packaged,3.5g Jar,2471.0,2471.0,0.0,0.0,0.0,30,0.0,0.0,,21.0,0,0.0,No
