Priority Rank,Priority,Need SKU,Need Name,Need Type,Unavailable,Need List Qty,Need Available Qty,Need Reserved Qty,Need On Hand Qty,Recommended Qty,Matched Strain,Fillable From Source,Source Rule,Suggested Source SKU,Suggested Source Name,Source Available Qty,Match Type,Testing Status,Scheduling Ready,Blocked Reason
6,Critical,SRN-PRJ-MEL,SRENE - 1g - Pre-roll - Melonade,Preroll,Yes,0.0,0.0,0.0,0.0,858,melonade,No,Trim/Preroll Material only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
7,Critical,SRE- PRJ - SCF - .7 - 5pk,SRENE - Sin City Funk - Pre Roll - .7g - 5 Pack,Preroll,Yes,0.0,0.0,0.0,0.0,616,sin city funk,Yes,Trim/Preroll Material only,SRE-TRM-SCF,Trim - Sin City Funk,5159.86,Exact,NOT PROVIDED,No,Source testing not passed
8,Critical,SRE-3.5-JAR-STH,SRENE - 3.5 grams - Jar - Strange Haze #8,Unit,No,7.0,7.0,0.0,7.0,825,strange haze,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
9,Critical,SRE-3.5-JAR-SPJ,SRENE - 3.5 grams - Jar - Space Junky,Unit,Yes,0.0,0.0,0.0,0.0,578,space junky,Yes,Flower/Smalls only,SRE-BUD-SPJ,Bud - Space Junky,9025.76,Exact,NOT PROVIDED,No,Source testing not passed
10,Critical,SRE-1g-CRT-PUH,SRENE - 1g Cart - Purple Haze,Cart,Yes,0.0,0.0,0.0,0.0,532,purple haze,Yes,Distillate only,SRE-DST-FOR-PUH,Purple Haze - Distillate,989.0,Exact,NOT PROVIDED,No,Source testing not passed
11,Critical,SRE-14.-MYL-ZRG,SRENE - 1/2 Ounce - Zero Gravity,Unit,Yes,0.0,0.0,0.0,0.0,497,zero gravity,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
12,Critical,SRE- PRJ - BIO - .7 - 5pk,SRENE - BioFuel - Pre Roll - .7g - 5 Pack,Preroll,Yes,0.0,0.0,0.0,0.0,490,biofuel,Yes,Trim/Preroll Material only,SRE-TRM-BIF,Trim - BioFuel,6476.66,Exact,NOT PROVIDED,No,Source testing not passed
13,Critical,SRE-14.-MYL-SPJ,SRENE - 1/2 Ounce - Space Junky,Unit,Yes,0.0,0.0,0.0,0.0,444,space junky,Yes,Flower/Smalls only,SRE-BUD-SPJ,Bud - Space Junky,9025.76,Exact,NOT PROVIDED,No,Source testing not passed
14,Critical,SRE-14.-MYL-GOO,SRENE - 1/2 Ounce - GovernMint Oasis,Unit,Yes,0.0,0.0,0.0,0.0,381,governmint oasis,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
15,Critical,SRE-14.-MYL- PUS,SRENE - 1/2 Ounce - Purple Slush,Unit,Yes,0.0,0.0,0.0,0.0,381,purple slush,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
16,Critical,VYB-3.5-MYL-PUS,VYBZ - 3.5 grams - Purple Slush,Unit,Yes,0.0,0.0,0.0,0.0,373,purple slush,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
17,Critical,SRE-14.-MYL-TRA,SRENE - 1/2 Ounce - Tropicana Acai,Unit,Yes,0.0,0.0,0.0,0.0,341,tropicana acai,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
21,Critical,VYB-3.5-MYL-MEL,VYBZ - 3.5 grams - Melonade,Unit,Yes,0.0,0.0,0.0,0.0,236,melonade,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
22,Critical,SRE-3.5-JAR-PUR,SRENE - 3.5 grams - Jar - Purple Slush,Unit,Yes,0.0,0.0,0.0,0.0,210,purple slush,No,Flower/Smalls only,,,0.0,NoMatch,NOT PROVIDED,No,No matching source strain
