Priority Rank,Action Priority,Station,Need SKU,Need Name,Need Type,Need List Qty,Need Available Qty,Need Reserved Qty,Need On Hand Qty,Qty Basis,Potential 3.5g Units,Potential 14g Units,Potential Total Units,Potential Unit Breakdown,Unavailable,Scheduling Ready,Blocked Reason,Next Action,Matched Strain,Suggested Source Name,Source Available Qty,Related Packaged Inventory,Packaged Units In Inventory,Packaged Unit Breakdown,Missing Required Types,Subtype Gap,ToDo Rank
98,P1,Preroll,Trim - Lemon Rope,Trim - Lemon Rope,Preroll,2757.81,2757.81,0.0,2757.81,grams,,,2757,1g Single: 2757 | 5pk (.7g): 787,No,No,New preroll opportunity,Create new pre-roll SKU from this preroll material strain,lemon rope,Trim - Lemon Rope,2757.81,None,0,1g Single: 0 | 5pk (.7g): 0,1g Single | 5pk (.7g),Yes,4
108,P1,Preroll,Trim - Limesicle,Trim - Limesicle,Preroll,5196.37,5196.37,0.0,5196.37,grams,,,5196,1g Single: 5196 | 5pk (.7g): 1484,No,No,New preroll opportunity,Create new pre-roll SKU from this preroll material strain,limesicle,Trim - Limesicle,5196.37,None,0,1g Single: 0 | 5pk (.7g): 0,1g Single | 5pk (.7g),Yes,5
28,P1,Preroll,SRENE - 1g - Pre-roll - DayStripper,SRENE - 1g - Pre-roll - DayStripper,Preroll,1100.0,1100.0,0.0,1100.0,units,,,,,No,Yes,,Package 5pk (.7g) options next; use available 1g Single inventory (1100 units) for this strain,daystripper,Trim - DayStripper,3504.62,SRENE - 1g - Pre-roll - DayStripper: 1100.0,1100,1g Single: 1100 | 5pk (.7g): 0,5pk (.7g),Yes,6
70,P1,Preroll,Preroll Material - BioFuel,Preroll Material - BioFuel,Preroll,356.0,356.0,0.0,356.0,grams,,,356,1g Single: 356 | 5pk (.7g): 101,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (5663 units) for this strain,biofuel,Preroll Material - BioFuel,356.0,Vybz - 1g - Pre-roll - BioFuel: 2201.0; SRENE - 1g - Pre-roll - BioFuel: 3462.0,5663,1g Single: 5663 | 5pk (.7g): 0,5pk (.7g),Yes,9
73,P1,Preroll,Trim - O.B.X.,Trim - O.B.X.,Preroll,382.0,382.0,0.0,382.0,grams,,,382,1g Single: 382 | 5pk (.7g): 109,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (2910 units) for this strain,o b x,Trim - O.B.X.,382.0,Vybz - 1g - Pre-roll - O.B.X: 2743.0; SRENE - 1g - Pre-roll - O.B.X.: 167.0,2910,1g Single: 2910 | 5pk (.7g): 0,5pk (.7g),Yes,10
107,P1,Preroll,Trim - DayStripper,Trim - DayStripper,Preroll,3504.62,3504.62,0.0,3504.62,grams,,,3504,1g Single: 3504 | 5pk (.7g): 1001,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (1100 units) for this strain,daystripper,Trim - DayStripper,3504.62,SRENE - 1g - Pre-roll - DayStripper: 1100.0,1100,1g Single: 1100 | 5pk (.7g): 0,5pk (.7g),Yes,14
79,P1,Preroll,Preroll Material - Royale Grape,Preroll Material - Royale Grape,Preroll,5079.18,5079.18,0.0,5079.18,grams,,,5079,1g Single: 5079 | 5pk (.7g): 1451,No,No,New preroll opportunity,Package 1g Single options next; use available 5pk (.7g) inventory (550 units) for this strain,royale grape,Preroll Material - Royale Grape,5079.18,SRENE - Royale Grape - Pre Roll - .7g - 5 Pack: 550.0,550,1g Single: 0 | 5pk (.7g): 550,1g Single,Yes,16
103,P1,Preroll,Trim - Tropicana Acai,Trim - Tropicana Acai,Preroll,6035.9,6035.9,0.0,6035.9,grams,,,6035,1g Single: 6035 | 5pk (.7g): 1724,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (3205 units) for this strain,tropicana acai,Trim - Tropicana Acai,6035.9,SRENE - 1g - Pre-roll - Tropicana Acai: 398.0; Vybz - 1g - Pre-roll - Tropicana Acai: 2807.0,3205,1g Single: 3205 | 5pk (.7g): 0,5pk (.7g),Yes,17
105,P1,Preroll,Trim - BioFuel,Trim - BioFuel,Preroll,6476.66,6476.66,0.0,6476.66,grams,,,6476,1g Single: 6476 | 5pk (.7g): 1850,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (5663 units) for this strain,biofuel,Trim - BioFuel,6476.66,Vybz - 1g - Pre-roll - BioFuel: 2201.0; SRENE - 1g - Pre-roll - BioFuel: 3462.0,5663,1g Single: 5663 | 5pk (.7g): 0,5pk (.7g),Yes,19
21,P1,Preroll,Trim - Space Junky,Trim - Space Junky,Preroll,15114.96,10088.06,5026.9,10088.06,grams,,,10088,1g Single: 10088 | 5pk (.7g): 2882,No,No,New preroll opportunity,Package 1g Single options next; use available 5pk (.7g) inventory (938 units) for this strain,space junky,Trim - Space Junky,10088.06,SRENE - Space Junky - Pre Roll - .7g - 5 Pack: 938.0,938,1g Single: 0 | 5pk (.7g): 938,1g Single,Yes,22
