Priority Rank,Action Priority,Station,Need SKU,Need Name,Need Type,Need List Qty,Need Available Qty,Need Reserved Qty,Need On Hand Qty,Qty Basis,Potential 3.5g Units,Potential 14g Units,Potential Total Units,Potential Unit Breakdown,Unavailable,Scheduling Ready,Blocked Reason,Next Action,Matched Strain,Suggested Source Name,Source Available Qty,Related Packaged Inventory,Packaged Units In Inventory,Packaged Unit Breakdown,Missing Required Types,Subtype Gap,ToDo Rank
8,P1,Unit,SRENE - 3.5 grams - Jar - Rose Sorbet,SRENE - 3.5 grams - Jar - Rose Sorbet,Unit,2394.0,2394.0,0.0,2394.0,units,,,,,No,Yes,,Package 14g options next; use available 3.5g inventory (2394 units) for this strain,rose sorbet,Bud - Rose Sorbet,4513.06,SRENE - 3.5 grams - Jar - Rose Sorbet: 2394.0,2394,3.5g: 2394 | 14g: 0,14g,Yes,7
16,P1,Unit,SRENE - 3.5 grams - Jar - Limesicle,SRENE - 3.5 grams - Jar - Limesicle,Unit,3251.5,3251.5,0.0,3251.5,units,,,,,No,Yes,,Package 14g options next; use available 3.5g inventory (3251 units) for this strain,limesicle,Bud - Limesicle,6770.03,SRENE - 3.5 grams - Jar - Limesicle: 3251.5,3251,3.5g: 3251 | 14g: 0,14g,Yes,8
109,P1,Unit,Smalls - Limesicle,Smalls - Limesicle,Unit,756.2,756.2,0.0,756.2,grams,,,54,14g: 54,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (3251 units) for this strain,limesicle,Smalls - Limesicle,756.2,SRENE - 3.5 grams - Jar - Limesicle: 3251.5,3251,3.5g: 3251 | 14g: 0,14g,Yes,11
90,P1,Unit,Smalls - Rose Sorbet,Smalls - Rose Sorbet,Unit,782.83,782.83,0.0,782.83,grams,,,55,14g: 55,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (2394 units) for this strain,rose sorbet,Smalls - Rose Sorbet,782.83,SRENE - 3.5 grams - Jar - Rose Sorbet: 2394.0,2394,3.5g: 2394 | 14g: 0,14g,Yes,12
110,P1,Unit,Smalls - Space Junky,Smalls - Space Junky,Unit,1722.04,1722.04,0.0,1722.04,grams,,,123,14g: 123,No,No,New flower opportunity,Create new 14g flower SKU from this smalls strain,space junky,Smalls - Space Junky,1722.04,SRENE - 1/2 Ounce - Space Junky: 238.0,238,3.5g: 0 | 14g: 238,3.5g,Yes,13
30,P1,Unit,Bud - Rose Sorbet,Bud - Rose Sorbet,Unit,4513.06,4513.06,0.0,4513.06,grams,,,1289,3.5g: 1289 | 14g: 322,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (2394 units) for this strain,rose sorbet,Bud - Rose Sorbet,4513.06,SRENE - 3.5 grams - Jar - Rose Sorbet: 2394.0,2394,3.5g: 2394 | 14g: 0,14g,Yes,15
89,P1,Unit,Bud - Stripper Glitter,Bud - Stripper Glitter,Unit,6443.91,6443.91,0.0,6443.91,grams,,,1841,3.5g: 1841 | 14g: 460,No,No,New flower opportunity,Package 3.5g options next; use available 14g inventory (6104 units) for this strain,stripper glitter,Bud - Stripper Glitter,6443.91,SRENE - 1/2 Ounce - Stripper Glitter: 6104.0,6104,3.5g: 0 | 14g: 6104,3.5g,Yes,18
88,P1,Unit,Bud - Limesicle,Bud - Limesicle,Unit,6770.03,6770.03,0.0,6770.03,grams,,,1934,3.5g: 1934 | 14g: 483,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (3251 units) for this strain,limesicle,Bud - Limesicle,6770.03,SRENE - 3.5 grams - Jar - Limesicle: 3251.5,3251,3.5g: 3251 | 14g: 0,14g,Yes,20
31,P1,Unit,Bud - Space Junky,Bud - Space Junky,Unit,9025.76,9025.76,0.0,9025.76,grams,,,2578,3.5g: 2578 | 14g: 644,No,No,New flower opportunity,Package 3.5g options next; use available 14g inventory (238 units) for this strain,space junky,Bud - Space Junky,9025.76,SRENE - 1/2 Ounce - Space Junky: 238.0,238,3.5g: 0 | 14g: 238,3.5g,Yes,21
113,P1,Unit,Bud - O.B.X.,Bud - O.B.X.,Unit,2256.4,33.9,2222.5,33.9,grams,,,9,3.5g: 9 | 14g: 2,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,o b x,Bud - O.B.X.,33.9,SRENE - 1/2 Ounce - O.B.X.: 2954.0; VYBZ - 3.5 grams - O.B.X.: 1837.5,4791,3.5g: 1837 | 14g: 2954,,No,24
101,P1,Unit,Bud - BioFuel,Bud - BioFuel,Unit,2255.65,50.65,2205.0,50.65,grams,,,14,3.5g: 14 | 14g: 3,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,biofuel,Bud - BioFuel,50.65,VYBZ - 3.5 grams - BioFuel: 2222.5; SRENE - 1/2 Ounce - BioFuel: 5110.0,7332,3.5g: 2222 | 14g: 5110,,No,25
106,P1,Unit,Bud - DayStripper,Bud - DayStripper,Unit,2256.29,51.29,2205.0,51.29,grams,,,14,3.5g: 14 | 14g: 3,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,daystripper,Bud - DayStripper,51.29,SRENE - 1/2 Ounce - DayStripper: 5250.0; SRENE - 3.5 grams - Jar - DayStripper: 2485.0,7735,3.5g: 2485 | 14g: 5250,,No,26
96,P1,Unit,Bud - Lemon Rope,Bud - Lemon Rope,Unit,2256.87,51.87,2205.0,51.87,grams,,,14,3.5g: 14 | 14g: 3,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,lemon rope,Bud - Lemon Rope,51.87,SRENE - 3.5 grams - Jar - Lemon Rope: 2908.5; SRENE - 1/2 Ounce - Lemon Rope: 5810.0,8718,3.5g: 2908 | 14g: 5810,,No,27
68,P1,Unit,Bud - Sin City Funk,Bud - Sin City Funk,Unit,4512.98,4512.98,0.0,4512.98,grams,,,1289,3.5g: 1289 | 14g: 322,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,sin city funk,Bud - Sin City Funk,4512.98,SRENE - 3.5 grams - Jar - Sin City Funk: 2471.0; SRENE - 1/2 Ounce - Sin City Funk: 2226.0,4697,3.5g: 2471 | 14g: 2226,,No,32
