Priority Rank,Action Priority,Station,Need SKU,Need Name,Need Type,Need List Qty,Need Available Qty,Need Reserved Qty,Need On Hand Qty,Qty Basis,Potential 3.5g Units,Potential 14g Units,Potential Total Units,Potential Unit Breakdown,Unavailable,Scheduling Ready,Blocked Reason,Next Action,Matched Strain,Suggested Source Name,Source Available Qty,Related Packaged Inventory,Packaged Units In Inventory,Packaged Unit Breakdown,Missing Required Types,Subtype Gap,ToDo Rank
258,P1,Cart,SRE-DST-FOR-PUH,Purple Haze - Distillate,Cart,989.0,989.0,0.0,989.0,grams,,,989,1g Cart/AIO: 989,No,No,New distillate opportunity,Create new 1g Cart or 1g AIO Cart SKU from this distillate strain,purple haze,Purple Haze - Distillate,989.0,None,0,1g Cart: 0 | 1g AIO: 0,1g Cart | 1g AIO,Yes,1
255,P1,Cart,SRE-DST-FOR-PO,Peach Octane - Distillate,Cart,991.0,991.0,0.0,991.0,grams,,,991,1g Cart/AIO: 991,No,No,New distillate opportunity,Create new 1g Cart or 1g AIO Cart SKU from this distillate strain,peach octane,Peach Octane - Distillate,991.0,None,0,1g Cart: 0 | 1g AIO: 0,1g Cart | 1g AIO,Yes,2
257,P1,Cart,SRE-DST-FOR-SS,Satellite Syrup - Distillate,Cart,991.0,991.0,0.0,991.0,grams,,,991,1g Cart/AIO: 991,No,No,New distillate opportunity,Create new 1g Cart or 1g AIO Cart SKU from this distillate strain,satellite syrup,Satellite Syrup - Distillate,991.0,None,0,1g Cart: 0 | 1g AIO: 0,1g Cart | 1g AIO,Yes,3
254,P1,Unit,SRE-SMA-SPJ,Smalls - Space Junky,Unit,1722.04,1722.04,0.0,1722.04,grams,,,123,14g: 123,No,No,New flower opportunity,Create new 14g flower SKU from this smalls strain,space junky,Smalls - Space Junky,1722.04,None,0,3.5g: 0 | 14g: 0,3.5g | 14g,Yes,4
246,P1,Preroll,SRE-PRM-STG,Preroll Material - Stripper Glitter,Preroll,5978.9,5978.9,0.0,5978.9,grams,,,5978,1g Single: 5978 | 5pk (.7g): 1708,No,No,New preroll opportunity,Create new pre-roll SKU from this preroll material strain,stripper glitter,Preroll Material - Stripper Glitter,5978.9,None,0,1g Single: 0 | 5pk (.7g): 0,1g Single | 5pk (.7g),Yes,5
243,P1,Unit,SRE-BUD-SPJ,Bud - Space Junky,Unit,9025.76,9025.76,0.0,9025.76,grams,,,2578,3.5g: 2578 | 14g: 644,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,space junky,Bud - Space Junky,9025.76,None,0,3.5g: 0 | 14g: 0,3.5g | 14g,Yes,6
13,P2,Unit,SRE-14.-MYL-SPJ,SRENE - 1/2 Ounce - Space Junky,Unit,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Wait for test pass before scheduling,space junky,Bud - Space Junky,9025.76,None,0,3.5g: 0 | 14g: 0,3.5g | 14g,Yes,7
10,P2,Cart,SRE-1g-CRT-PUH,SRENE - 1g Cart - Purple Haze,Cart,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Wait for test pass before scheduling,purple haze,Purple Haze - Distillate,989.0,None,0,1g Cart: 0 | 1g AIO: 0,1g Cart | 1g AIO,Yes,8
9,P2,Unit,SRE-3.5-JAR-SPJ,SRENE - 3.5 grams - Jar - Space Junky,Unit,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Wait for test pass before scheduling,space junky,Bud - Space Junky,9025.76,None,0,3.5g: 0 | 14g: 0,3.5g | 14g,Yes,9
266,P1,Preroll,SRE-PRM-BIO,Preroll Material - BioFuel,Preroll,356.0,356.0,0.0,356.0,grams,,,356,1g Single: 356 | 5pk (.7g): 101,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (5663 units) for this strain,biofuel,Preroll Material - BioFuel,356.0,SRENE - 1g - Pre-roll - BioFuel: 3462.0; Vybz - 1g - Pre-roll - BioFuel: 2201.0,5663,1g Single: 5663 | 5pk (.7g): 0,5pk (.7g),Yes,10
263,P1,Preroll,SRE-PRM-SCF,Preroll Material - Sin City Funk,Preroll,683.2,683.2,0.0,683.2,grams,,,683,1g Single: 683 | 5pk (.7g): 195,No,No,New preroll opportunity,Package 5pk (.7g) options next; use available 1g Single inventory (3241 units) for this strain,sin city funk,Preroll Material - Sin City Funk,683.2,SRENE - 1g - Pre-roll - Sin City Funk: 3241.0,3241,1g Single: 3241 | 5pk (.7g): 0,5pk (.7g),Yes,11
261,P1,Unit,SRE-SMA-LIM,Smalls - Limesicle,Unit,756.2,756.2,0.0,756.2,grams,,,54,14g: 54,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (222 units) for this strain,limesicle,Smalls - Limesicle,756.2,SRENE - 3.5 grams - Jar - Limesicle: 779.0,222,3.5g: 222 | 14g: 0,14g,Yes,12
260,P1,Unit,SRE-SMA-ROS,Smalls - Rose Sorbet,Unit,782.83,782.83,0.0,782.83,grams,,,55,14g: 55,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (195 units) for this strain,rose sorbet,Smalls - Rose Sorbet,782.83,SRENE - 3.5 grams - Jar - Rose Sorbet: 684.0,195,3.5g: 195 | 14g: 0,14g,Yes,13
248,P1,Unit,SRE-BUD-ROS,Bud - Rose Sorbet,Unit,4513.06,4513.06,0.0,4513.06,grams,,,1289,3.5g: 1289 | 14g: 322,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (195 units) for this strain,rose sorbet,Bud - Rose Sorbet,4513.06,SRENE - 3.5 grams - Jar - Rose Sorbet: 684.0,195,3.5g: 195 | 14g: 0,14g,Yes,14
247,P1,Preroll,SRE-PRM-ROY,Preroll Material - Royale Grape,Preroll,5079.18,5079.18,0.0,5079.18,grams,,,5079,1g Single: 5079 | 5pk (.7g): 1451,No,No,New preroll opportunity,Package 1g Single options next; use available 5pk (.7g) inventory (157 units) for this strain,royale grape,Preroll Material - Royale Grape,5079.18,SRENE - Royale Grape - Pre Roll - .7g - 5 Pack: 550.0,157,1g Single: 0 | 5pk (.7g): 157,1g Single,Yes,15
245,P1,Unit,SRE-BUD-STG,Bud - Stripper Glitter,Unit,6443.91,6443.91,0.0,6443.91,grams,,,1841,3.5g: 1841 | 14g: 460,No,No,New flower opportunity,Package 3.5g options next; use available 14g inventory (29 units) for this strain,stripper glitter,Bud - Stripper Glitter,6443.91,SRENE - 1/2 Ounce - Stripper Glitter: 414.0,29,3.5g: 0 | 14g: 29,3.5g,Yes,16
244,P1,Unit,SRE-BUD-LIM,Bud - Limesicle,Unit,6770.03,6770.03,0.0,6770.03,grams,,,1934,3.5g: 1934 | 14g: 483,No,No,New flower opportunity,Package 14g options next; use available 3.5g inventory (222 units) for this strain,limesicle,Bud - Limesicle,6770.03,SRENE - 3.5 grams - Jar - Limesicle: 779.0,222,3.5g: 222 | 14g: 0,14g,Yes,17
12,P2,Preroll,SRE- PRJ - BIO - .7 - 5pk,SRENE - BioFuel - Pre Roll - .7g - 5 Pack,Preroll,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Package 5pk (.7g) options next; use available 1g Single inventory (5663 units) for this strain,biofuel,Trim - BioFuel,6476.66,SRENE - 1g - Pre-roll - BioFuel: 3462.0; Vybz - 1g - Pre-roll - BioFuel: 2201.0,5663,1g Single: 5663 | 5pk (.7g): 0,5pk (.7g),Yes,18
7,P2,Preroll,SRE- PRJ - SCF - .7 - 5pk,SRENE - Sin City Funk - Pre Roll - .7g - 5 Pack,Preroll,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Package 5pk (.7g) options next; use available 1g Single inventory (3241 units) for this strain,sin city funk,Trim - Sin City Funk,5159.86,SRENE - 1g - Pre-roll - Sin City Funk: 3241.0,3241,1g Single: 3241 | 5pk (.7g): 0,5pk (.7g),Yes,19
25,P2,Unit,SRE-14.-MYL-LIS,SRENE - 1/2 Ounce - Limesicle,Unit,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Package 14g options next; use available 3.5g inventory (222 units) for this strain,limesicle,Bud - Limesicle,6770.03,SRENE - 3.5 grams - Jar - Limesicle: 779.0,222,3.5g: 222 | 14g: 0,14g,Yes,20
42,P2,Preroll,VYB-PRJ-DAS,Vybz - 1g - Pre-roll - DayStripper,Preroll,0.0,0.0,0.0,0.0,units,,,,,Yes,No,Source testing not passed,Package 5pk (.7g) options next; use available 1g Single inventory (750 units) for this strain,daystripper,Trim - DayStripper,3504.62,SRENE - 1g - Pre-roll - DayStripper: 750.0,750,1g Single: 750 | 5pk (.7g): 0,5pk (.7g),Yes,21
270,P1,Unit,SRE-BUD-OBX,Bud - O.B.X.,Unit,33.9,33.9,0.0,33.9,grams,,,9,3.5g: 9 | 14g: 2,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,o b x,Bud - O.B.X.,33.9,VYBZ - 3.5 grams - O.B.X.: 525.0; SRENE - 1/2 Ounce - O.B.X.: 146.0,160,3.5g: 150 | 14g: 10,,No,22
269,P1,Unit,SRE-BUD-DAY,Bud - DayStripper,Unit,51.29,51.29,0.0,51.29,grams,,,14,3.5g: 14 | 14g: 3,No,No,New flower opportunity,Create new 3.5g/14g flower SKU from this bulk flower strain,daystripper,Bud - DayStripper,51.29,SRENE - 3.5 grams - Jar - DayStripper: 660.0; SRENE - 1/2 Ounce - DayStripper: 375.0,214,3.5g: 188 | 14g: 26,,No,23
264,P1,Preroll,SRE-PRM-ROS,Preroll Material - Rose Sorbet,Preroll,631.0,631.0,0.0,631.0,grams,,,631,1g Single: 631 | 5pk (.7g): 180,No,No,New preroll opportunity,Create new pre-roll SKU from this preroll material strain,rose sorbet,Preroll Material - Rose Sorbet,631.0,SRENE - 1g - Pre-roll - Rose Sorbet: 2669.0; SRENE - Rose Sorbet - Pre Roll - .7g - 5 Pack: 131.0,2706,1g Single: 2669 | 5pk (.7g): 37,,No,24
259,P1,Preroll,SRE-PRM-ZER,Preroll Material - Zero Gravity,Preroll,783.1,783.1,0.0,783.1,grams,,,783,1g Single: 783 | 5pk (.7g): 223,No,No,New preroll opportunity,Create new pre-roll SKU from this preroll material strain,zero gravity,Preroll Material - Zero Gravity,783.1,SRENE - 1g - Pre-roll - Zero Gravity: 1303.0; SRENE - Zero Gravity - Pre Roll - .7g - 5 Pack: 669.0,1494,1g Single: 1303 | 5pk (.7g): 191,,No,25
